duration,hits,loadtime,datatransferred,cdn,reference,bot
94.29092811,45,233.65,2.49,Beluga,Direct,Bot
87.05054023,34,195.92,3.32,DDOS-GUARD,External,Human
122.6480764,56,211.31,3.02,Cloudflare,External,Bot
96.31822049,47,208.98,3.11,DDOS-GUARD,External,Bot
87.89645056,51,245.3,2.85,DDOS-GUARD,Direct,Human
93.68660625,48,222.16,2.7,Microsoft,Direct,Bot
81.05350096,50,257.7,2.61,Beluga,Direct,Bot
119.0771369,54,213.58,2.24,Microsoft,Direct,Human
94.47904638,61,270.31,3.02,Microsoft,Direct,Human
82.4959685,43,223.25,2.64,Beluga,External,Human
95.88630273,49,234.81,2.74,Beluga,Direct,Bot
126.000314,61,225.48,2.87,DDOS-GUARD,Direct,Bot
85.80854964,55,266.4,2.81,Beluga,External,Human
57.53544684,41,257,2.73,Beluga,External,Bot
55.63945049,36,257.79,3.61,Cloudflare,Direct,Bot
96.48649769,43,207.5,3.23,DDOS-GUARD,Direct,Bot
69.71785007,39,252.51,3.69,Cloudflare,External,Bot
106.5783388,60,248.89,3.67,Beluga,Direct,Bot
80.53644256,50,267.82,2.77,Cloudflare,External,Human
88.03797122,45,233.93,2.59,Microsoft,Direct,Bot
47.38810747,31,245.32,2.88,Beluga,External,Human
77.89501605,52,254.83,3.15,Microsoft,Direct,Human
124.6289472,57,208.33,3.35,Microsoft,Direct,Bot
62.06760926,43,262.84,2.18,Beluga,Direct,Bot
130.3731237,75,271.66,2.33,DDOS-GUARD,Direct,Human
97.54139818,56,230.55,2.72,DDOS-GUARD,Direct,Human
74.40438139,51,264.01,2.72,DDOS-GUARD,External,Bot
87.7333247,40,205.5,3.12,Microsoft,External,Human
105.9812315,59,249.37,3.14,Beluga,Direct,Human
71.40521931,43,243.96,3.67,Cloudflare,External,Human
62.55788359,41,236.8,3.18,Microsoft,Direct,Human
105.7915082,64,261.65,3.66,Cloudflare,External,Human
65.55481847,46,268.73,3.44,Cloudflare,External,Bot
86.38021533,53,258.72,3.32,Beluga,External,Human
41.91668399,38,279.58,3.37,DDOS-GUARD,External,Human
86.63913949,45,236.22,2.81,Cloudflare,Direct,Bot
88.51124717,42,221.54,2.93,Microsoft,Direct,Bot
89.19891819,47,240.26,3.35,Cloudflare,Direct,Human
75.35378495,38,224.77,2.53,Cloudflare,External,Bot
91.28664812,37,206.26,3.47,DDOS-GUARD,External,Human
75.55299329,46,263.52,3.06,Microsoft,External,Human
91.36111832,61,275.18,3.09,Microsoft,External,Human
98.70165145,59,251.74,2.06,DDOS-GUARD,External,Human
76.98139222,45,246.15,3.37,Microsoft,Direct,Bot
66.09282244,44,254.49,2.78,Cloudflare,External,Bot
71.70800802,47,262.05,2.75,Cloudflare,External,Bot
49.56070018,41,274.7,2.42,Microsoft,Direct,Bot
88.99548794,54,261.03,2.65,Beluga,External,Human
112.0697127,53,221.46,3.24,Cloudflare,External,Bot
63.3965453,39,253.33,2.8,Beluga,External,Human
112.8474055,65,253.32,2.6,Microsoft,External,Bot
76.54412539,50,269.28,2.65,Microsoft,External,Bot
149.4729046,63,199.3,3.18,DDOS-GUARD,Direct,Bot
110.9452857,52,221.77,3.57,Cloudflare,Direct,Human
56.62756967,36,247.75,3.09,Microsoft,Direct,Bot
100.8631911,50,221.21,2.65,DDOS-GUARD,Direct,Human
72.34887255,40,234.83,2.83,Cloudflare,Direct,Human
80.0502947,42,234.39,3.27,DDOS-GUARD,Direct,Bot
91.86701009,54,234.47,2.96,DDOS-GUARD,Direct,Human
72.41697254,40,240.91,2.84,Beluga,Direct,Bot
73.33279839,46,252.94,3,DDOS-GUARD,External,Bot
87.95185812,43,225.89,2.55,DDOS-GUARD,Direct,Human
131.4388806,66,230.68,3.04,Beluga,Direct,Bot
90.43600449,53,262.36,3.73,DDOS-GUARD,External,Human
119.4507572,65,241.49,3.14,Microsoft,External,Bot
65.06792122,42,250.81,2.68,Microsoft,Direct,Human
65.57968403,38,246.51,3.05,Microsoft,Direct,Bot
128.7726488,62,235.86,2.41,Microsoft,Direct,Human
82.08004241,41,220.84,2.74,Microsoft,Direct,Bot
124.7785291,56,209.47,3.46,Beluga,External,Human
98.9423892,45,214.31,3.51,Beluga,Direct,Bot
96.4217736,54,241.56,2.59,Cloudflare,External,Human
69.06925407,37,231.73,3.19,DDOS-GUARD,Direct,Human
117.1137486,53,216.33,2.75,Cloudflare,Direct,Bot
118.8484221,60,224.89,3.06,DDOS-GUARD,Direct,Human
90.40529626,51,227.13,3.87,Beluga,Direct,Human
104.4175631,57,241.05,2.68,Beluga,External,Human
97.40343693,51,233.07,3.21,DDOS-GUARD,External,Bot
80.90665414,56,279.91,3.53,Cloudflare,Direct,Bot
94.42105367,60,266.92,2.58,Microsoft,External,Human
124.2557565,71,245.44,3.42,DDOS-GUARD,External,Bot
68.8367723,35,230.06,3.5,Microsoft,External,Bot
67.92143238,45,268.78,2.6,Cloudflare,External,Bot
116.5743211,55,226.96,2.78,DDOS-GUARD,Direct,Human
104.9344961,59,247.11,3.21,Microsoft,Direct,Human
150.4960427,72,213.15,4,Cloudflare,External,Bot
89.4124661,56,245.22,3.07,Beluga,External,Human
125.1608819,66,248.5,2.78,Microsoft,Direct,Human
103.7056663,57,239.47,3.31,DDOS-GUARD,Direct,Human
111.7526434,56,229.47,3.16,Cloudflare,External,Bot
90.5238998,55,251.28,3.5,DDOS-GUARD,External,Human
91.91177077,46,242.06,2.54,Cloudflare,External,Bot
50.94912891,38,268.84,3.84,Microsoft,Direct,Bot
98.84374904,54,234.25,3.34,Beluga,External,Bot
95.23267457,51,246.79,2.71,DDOS-GUARD,Direct,Human
86.46552154,46,245.08,3.03,Beluga,Direct,Human
105.2847253,55,244.72,3.78,Beluga,Direct,Human
110.9220244,53,223.63,2.65,Microsoft,External,Bot
95.06150841,51,246.01,3.72,Cloudflare,Direct,Human
106.9624627,60,237.9,3.3,Microsoft,Direct,Human
68.00713879,45,251.31,3.42,Beluga,External,Human
72.38761832,36,222.75,3.15,DDOS-GUARD,Direct,Human
105.3557076,49,209.49,3.1,DDOS-GUARD,Direct,Bot
113.5262124,63,239.12,4.35,Cloudflare,External,Human
98.65960038,52,241.03,3.12,Microsoft,External,Human
70.66588457,37,253.68,2.14,Beluga,Direct,Bot
120.1219236,53,215.46,2.23,DDOS-GUARD,Direct,Human
99.02009667,50,234.07,3.08,Microsoft,External,Bot
85.25707007,54,270.09,2.58,Beluga,External,Human
111.8816833,48,190.83,3.07,Cloudflare,External,Bot
120.3141213,65,224.87,3.53,Beluga,External,Human
116.9743688,58,232.59,2.67,Beluga,External,Bot
79.89192976,42,228.72,2.47,Beluga,Direct,Bot
72.40564841,48,270.12,3.16,Cloudflare,External,Bot
86.34739382,50,251.64,3.57,DDOS-GUARD,Direct,Human
114.36463,45,206.81,2.69,Cloudflare,Direct,Human
124.5852859,65,242.85,2.55,Cloudflare,Direct,Human
89.79601761,53,256.52,2.43,DDOS-GUARD,Direct,Bot
81.99001794,48,239.68,2.51,Cloudflare,External,Human
105.0676008,45,199.07,3.31,DDOS-GUARD,Direct,Human
114.2532836,60,231.05,2.86,DDOS-GUARD,Direct,Bot
137.1145438,72,232.35,3.05,Beluga,Direct,Human
84.30539101,58,277.16,2.77,Cloudflare,External,Bot
93.10989361,45,224.92,3,Microsoft,Direct,Bot
99.46433181,53,233.99,3.05,DDOS-GUARD,External,Bot
136.1450556,69,229.35,2.68,Beluga,External,Human
57.32796202,34,236.21,3.25,Beluga,Direct,Bot
102.0965313,66,262.34,2.79,Microsoft,Direct,Human
56.16597295,42,277.38,2.91,DDOS-GUARD,Direct,Bot
60.09068322,46,283.18,2.92,Cloudflare,External,Bot
55.24594851,45,295.97,3.2,Cloudflare,External,Human
66.88200968,44,255.4,3.15,Cloudflare,Direct,Bot
86.59800665,49,238.5,3.44,Cloudflare,Direct,Human
89.29692679,48,228.01,2,Cloudflare,Direct,Bot
107.142241,59,263.25,3.09,Microsoft,External,Bot
44.79255573,32,262.58,3.13,Cloudflare,Direct,Bot
78.13688807,36,223.24,1.88,Cloudflare,External,Human
73.15705797,44,244.46,3.97,DDOS-GUARD,Direct,Bot
115.3290434,57,215.14,3.16,DDOS-GUARD,External,Human
126.9836587,65,227.6,2.44,Beluga,Direct,Human
91.04895779,51,242.21,3.18,Microsoft,External,Bot
109.6406381,56,229.14,3.22,Microsoft,Direct,Human
53.86792866,39,254.68,2.11,DDOS-GUARD,External,Bot
99.52297217,60,253.3,3.21,Beluga,External,Bot
75.97459075,40,233.14,2.66,Microsoft,External,Human
121.7199925,56,206.78,3.03,Beluga,Direct,Human
108.2851227,51,216.56,2.41,Cloudflare,External,Human
120.5287939,60,250.07,2.59,Cloudflare,External,Human
62.30144846,29,228.5,2.79,Microsoft,Direct,Bot
90.04454589,57,276.11,2.31,Microsoft,External,Bot
102.9314964,60,242.01,3.4,DDOS-GUARD,Direct,Bot
83.6074628,45,235.03,3.23,Microsoft,External,Bot
77.89852532,52,267.68,3.61,Microsoft,Direct,Human
126.1150486,60,210.1,2.94,Microsoft,Direct,Human
77.48638701,37,220.28,3.21,DDOS-GUARD,Direct,Bot
76.58234346,50,256.25,2.38,Cloudflare,External,Human
77.3977096,51,270.8,2.41,Beluga,External,Human
55.28606994,40,261.43,2.84,DDOS-GUARD,External,Bot
90.17149358,48,234.42,2.58,Cloudflare,Direct,Human
86.07294735,50,258.56,3.35,Cloudflare,External,Human
65.56008415,39,241.8,2.65,Beluga,Direct,Bot
51.34230702,42,276,2.86,Microsoft,External,Bot
115.3734339,63,241.88,3.61,Microsoft,Direct,Bot
92.88684435,47,231.49,3.76,Microsoft,Direct,Human
99.25811769,55,239.58,3.54,DDOS-GUARD,Direct,Bot
90.10765834,47,235.73,4.14,Beluga,Direct,Bot
108.6911084,48,214.07,2.77,Beluga,External,Human
111.4557801,57,238.68,3.65,Microsoft,External,Bot
107.6353008,52,235.55,3.05,DDOS-GUARD,External,Bot
84.01210492,45,243.19,3.17,DDOS-GUARD,Direct,Human
139.9328412,65,209.13,3.14,Beluga,External,Bot
64.78581019,41,261.15,2.87,DDOS-GUARD,Direct,Bot
103.8251888,47,203.31,2.85,Microsoft,Direct,Human
121.5664023,51,194.51,2.43,Cloudflare,Direct,Bot
62.69663542,39,236.47,2.93,Beluga,External,Human
87.68910438,50,251.36,3.72,Microsoft,Direct,Bot
117.8214487,67,252.13,3.05,DDOS-GUARD,External,Bot
124.9972863,61,229.89,3.19,Cloudflare,Direct,Bot
123.9001433,60,227.75,2.71,DDOS-GUARD,External,Human
79.50696473,49,265.5,3.03,DDOS-GUARD,Direct,Human
75.92316718,38,242.83,3.01,Microsoft,Direct,Human
125.1364947,61,216.71,3.37,Beluga,External,Human
88.86620051,55,269.95,2.79,Microsoft,External,Human
84.35383617,44,229.83,2.82,Beluga,Direct,Bot
122.0540673,68,241.87,2.92,DDOS-GUARD,External,Human
78.64885658,50,266.32,2.23,DDOS-GUARD,Direct,Bot
98.66652965,49,236.55,2.52,Cloudflare,Direct,Human
97.60330996,53,248.02,2.46,Beluga,Direct,Human
139.0570256,71,224.32,2.21,Microsoft,Direct,Human
65.11034755,47,268.8,2.81,Beluga,External,Human
68.66704572,34,216.28,3.49,Cloudflare,External,Human
119.2284597,56,210.71,3.47,Cloudflare,External,Bot
135.5129389,69,234.66,2.24,Microsoft,Direct,Bot
99.03020574,50,230.04,2.74,Cloudflare,Direct,Human
103.1996924,47,203.48,2.72,DDOS-GUARD,Direct,Bot
67.98976735,44,273.91,2.74,DDOS-GUARD,External,Human
18.58941162,27,265.5,3.33,Cloudflare,External,Human
105.0854134,54,235.29,3.01,Cloudflare,External,Bot
30.69813261,27,258.26,3.14,Cloudflare,External,Human
89.96784719,48,232.59,2.4,Cloudflare,Direct,Bot
104.1621142,52,225.42,3.3,Beluga,Direct,Bot
110.6123971,57,233.12,2.93,Beluga,External,Bot
89.35337886,50,243.4,2.27,DDOS-GUARD,Direct,Human
74.77481799,50,259.7,3.07,Microsoft,External,Bot
133.0758835,64,215.98,2.6,DDOS-GUARD,Direct,Human
72.56179563,51,270.66,3.47,Beluga,Direct,Bot
83.55764457,49,235.91,2.91,Beluga,Direct,Bot
97.02236145,47,223.01,3.02,Cloudflare,External,Human
92.22982284,52,239.9,2.97,DDOS-GUARD,Direct,Bot
78.60104627,43,246.79,2.94,Microsoft,Direct,Bot
68.37218294,44,245.55,2.59,Beluga,External,Bot
99.98349118,58,241.61,3.11,DDOS-GUARD,External,Human
35.91106082,38,286.7,2.58,DDOS-GUARD,External,Human
120.7523146,54,208.17,3.36,DDOS-GUARD,Direct,Human
159.2705667,73,218.62,3.04,Beluga,Direct,Human
134.3850893,61,213.4,3.16,DDOS-GUARD,External,Human
93.65086501,56,250.13,3.36,Cloudflare,External,Bot
85.97525934,44,233.58,3.96,Beluga,Direct,Bot
87.81096103,41,213.64,3.42,Microsoft,External,Human
107.8788813,65,250.7,3.34,Beluga,External,Human
107.5542026,53,229.34,3.42,Cloudflare,Direct,Human
76.00303312,42,232.55,3.11,DDOS-GUARD,External,Bot
107.5160986,57,219.53,2.98,Cloudflare,Direct,Human
119.3589689,53,206.13,2.19,Beluga,Direct,Human
86.86782759,58,272.93,2.7,Beluga,External,Bot
89.39356734,45,217.76,2.5,Microsoft,External,Human
55.30765213,28,240.16,3.56,Microsoft,Direct,Human
89.96876305,48,230.78,2.74,Microsoft,Direct,Human
47.50870107,32,243.05,3.1,Beluga,Direct,Human
112.5171174,48,212.95,2.63,DDOS-GUARD,External,Bot
96.11610573,58,263.87,3.16,Cloudflare,External,Bot
76.95008433,54,265.81,2.15,Microsoft,External,Bot
91.04330395,50,228.02,2.24,Microsoft,Direct,Human
94.23717148,41,220.54,2.5,DDOS-GUARD,Direct,Human
86.77940082,49,248.03,2.52,Microsoft,External,Bot
61.50133737,44,262.67,3.45,Microsoft,External,Bot
121.2149045,63,231.93,2.08,Cloudflare,External,Human
45.96971001,31,256.75,3.34,Cloudflare,External,Bot
93.50226937,41,206.6,2.52,Cloudflare,External,Bot
83.06798463,54,270.63,2.58,Beluga,Direct,Bot
46.99071322,34,259.4,3.33,Cloudflare,Direct,Bot
83.94604379,47,245.06,2.47,Microsoft,Direct,Bot
105.4771525,39,197.89,3,Cloudflare,Direct,Bot
92.79454407,52,238.78,3.24,Microsoft,Direct,Human
79.81775085,43,230.55,3.59,Microsoft,Direct,Human
108.1078746,53,225.57,2.76,DDOS-GUARD,External,Human
56.81259211,39,259.37,3.07,Cloudflare,External,Human
107.3591903,54,232.96,3.4,Beluga,Direct,Human
69.58505646,42,247.16,3.9,Beluga,Direct,Human
77.48870058,44,255.63,3.64,Beluga,External,Human
96.06955284,63,262.97,2.89,DDOS-GUARD,External,Bot
105.1208189,53,236.51,3.24,Cloudflare,Direct,Human
88.91222923,60,280.8,2.58,Cloudflare,Direct,Bot
114.934762,62,233.47,2.54,Microsoft,Direct,Human
89.14927194,55,263.06,2.43,Beluga,External,Human
69.56871162,46,254.57,3.22,Cloudflare,External,Human
115.3870295,53,212.57,2.85,Beluga,External,Bot
106.6909003,52,222.43,2.21,Cloudflare,Direct,Human
79.2923587,45,251.35,2.69,Cloudflare,External,Bot
81.448601,54,262.89,2.66,Cloudflare,Direct,Human
127.3040147,58,216.54,2.83,Beluga,Direct,Bot
90.38102428,44,227.6,2.66,Beluga,Direct,Bot
97.96060272,48,232.51,2.88,Microsoft,External,Bot
78.52709957,48,254.41,3.53,Microsoft,External,Human
102.5928597,49,228.87,2.95,Beluga,Direct,Human
95.38510103,49,236.27,2.87,DDOS-GUARD,Direct,Human
80.007318,51,265.83,2.78,Beluga,External,Bot
93.5434336,49,230.69,2.16,Microsoft,Direct,Human
109.4397412,63,244.35,3.95,Beluga,Direct,Bot
62.56313947,35,242.04,3.47,Cloudflare,Direct,Human
80.25038691,50,266.65,3.12,Cloudflare,External,Human
93.39158675,51,234.68,2.67,Cloudflare,External,Bot
107.0484308,62,282.06,3.72,DDOS-GUARD,External,Bot
88.80014842,35,203.91,3.09,Beluga,Direct,Human
66.18617203,41,254.94,2.44,Microsoft,External,Bot
85.49156966,56,265.08,3.61,Microsoft,External,Human
95.31633608,53,241.78,3.41,DDOS-GUARD,External,Bot
93.41481679,55,264.25,3.95,Beluga,Direct,Human
85.16921254,47,227.74,3.17,Beluga,External,Bot
72.18102048,40,238.79,2.52,Microsoft,External,Human
64.11743951,36,243.81,2.91,Microsoft,External,Human
79.21193505,42,232.57,2.69,Cloudflare,External,Human
75.24678163,50,268.41,2.36,DDOS-GUARD,Direct,Human
78.51236465,42,238.34,2.28,Cloudflare,External,Bot
92.14415919,44,231.67,2.83,Microsoft,Direct,Human
109.0971141,53,221.16,2.29,Cloudflare,External,Human
46.3010932,35,256.59,3.57,Microsoft,External,Bot
133.9440353,58,210.54,3.25,Cloudflare,External,Human
108.0992396,59,254.99,2.81,Beluga,External,Bot
85.26401263,53,257.32,2.69,DDOS-GUARD,Direct,Bot
85.96269308,59,270.86,2.52,Microsoft,External,Bot
84.67321647,58,263.11,3.08,Beluga,External,Bot
132.061585,63,225.27,4.15,Microsoft,Direct,Human
134.2577031,72,240.71,3.06,Microsoft,External,Bot
123.2192757,58,212.52,2.58,DDOS-GUARD,External,Human
94.47255009,57,260.81,2.99,DDOS-GUARD,Direct,Human
105.5148399,48,208.19,3.28,Microsoft,External,Bot
100.2962747,44,226.37,2.92,DDOS-GUARD,Direct,Human
102.9204861,53,230.66,2.28,Beluga,Direct,Bot
71.36979108,41,232.8,2.76,DDOS-GUARD,External,Bot
87.96308442,52,251.56,2.56,Beluga,Direct,Human
88.38130682,44,216.87,3.48,DDOS-GUARD,Direct,Human
126.4877952,61,220.89,2.33,Microsoft,External,Bot
81.0653681,43,232.45,2.7,Beluga,External,Human
103.363728,62,252.38,2.09,DDOS-GUARD,External,Bot
101.8324295,46,213.14,3.28,Beluga,Direct,Human
98.44480395,51,228.7,2.84,DDOS-GUARD,Direct,Bot
78.85325567,51,279.34,3.1,Cloudflare,Direct,Bot
83.13870178,47,242.42,2.49,Beluga,External,Bot
97.98209181,60,252.67,3.63,Beluga,External,Human
106.619944,59,247.07,2.8,Microsoft,Direct,Human
74.2943106,38,236.35,3.83,Cloudflare,External,Human
109.5253702,59,236.54,2.05,Cloudflare,Direct,Bot
72.18220116,46,259.08,3.08,Microsoft,Direct,Human
91.08954321,54,241.54,2.26,Beluga,Direct,Human
122.6803208,60,232.95,2.75,Microsoft,Direct,Human
51.48511012,36,255.04,2.98,Cloudflare,External,Bot
96.79362237,46,226.6,3.07,Microsoft,External,Human
59.27139434,40,257.31,3,Cloudflare,Direct,Bot
99.55631157,52,237.94,2.61,Beluga,External,Bot
85.87714822,52,257.17,3.41,Beluga,Direct,Bot
88.57942789,47,245.85,2.69,Beluga,Direct,Human
96.56778152,51,238.4,3.27,Cloudflare,External,Human
48.87689983,33,246.19,2.75,Microsoft,External,Bot
123.8206936,63,223.66,2.38,Cloudflare,Direct,Bot
120.9919645,63,233.8,2.9,Microsoft,External,Bot
81.62627604,52,254.57,3.15,Cloudflare,Direct,Bot
106.3208362,59,245.63,2.9,Beluga,External,Bot
71.7799573,48,257.29,2.77,Microsoft,External,Human
101.7880957,46,223.2,2.91,Microsoft,Direct,Bot
96.54705339,48,231.71,3.52,Beluga,Direct,Human
85.08682024,52,253.82,2.88,Cloudflare,Direct,Bot
78.00063058,39,222.1,2.5,Beluga,Direct,Bot
89.1340393,51,246.52,3.61,Beluga,External,Bot
90.136124,53,252.68,3.18,DDOS-GUARD,External,Human
75.18663617,39,227.9,3.61,DDOS-GUARD,Direct,Human
88.9345336,54,247.81,3.65,Cloudflare,External,Bot
70.62579332,47,262.2,3.71,Beluga,Direct,Human
90.27653278,39,209.33,4.16,Microsoft,External,Bot
114.1293067,61,235.84,3.67,Cloudflare,External,Human
42.00276691,37,266.7,3.37,Cloudflare,External,Human
59.70785029,31,225.95,3.01,Cloudflare,Direct,Bot
95.75498549,49,249.87,3.05,DDOS-GUARD,Direct,Human
104.520858,49,212.71,3.49,Cloudflare,External,Bot
104.6527814,55,236.17,2.63,Cloudflare,External,Bot
128.2394162,56,209.11,2.9,Beluga,Direct,Bot
105.4914208,57,250.27,2.92,Cloudflare,Direct,Bot
29.16000138,31,288.68,3.26,Beluga,External,Human
79.90600576,55,275.24,3.15,Cloudflare,External,Bot
102.757656,56,238.14,2.82,Beluga,External,Bot
81.79651191,37,214.14,2.36,Cloudflare,Direct,Human
64.21515017,29,214.51,2.54,DDOS-GUARD,Direct,Human
128.5271987,67,225.82,2.45,Cloudflare,External,Bot
97.58213496,51,241.62,3.16,Microsoft,External,Human
82.08961051,43,239.06,3.17,Beluga,External,Human
82.71351692,36,215.39,3.22,Microsoft,External,Human
74.40165485,45,245.03,3.08,Microsoft,External,Human
78.96266307,41,228.78,3.23,Microsoft,External,Human
90.395009,49,229.37,3.28,Beluga,Direct,Human
112.33974,55,234.7,3.28,Microsoft,External,Human
98.6725346,57,259.72,3.26,DDOS-GUARD,Direct,Human
109.0634243,54,223.67,3.04,DDOS-GUARD,External,Bot
81.34018064,44,232.09,2.56,DDOS-GUARD,Direct,Human
71.14439446,48,256.09,2.76,Microsoft,Direct,Human
92.07498686,49,240.62,3.38,Cloudflare,External,Bot
107.8413614,60,250.57,1.86,Cloudflare,Direct,Bot
103.9714791,51,232.17,2.98,Beluga,External,Human
137.7761813,61,203.45,3.15,DDOS-GUARD,Direct,Bot
124.0669839,60,219.35,3.02,Beluga,Direct,Bot
